created_at,State,RTO,OEM,CNG ONLY,DIESEL,DIESEL/HYBRID,ELECTRIC(BOV),Petrol,Petrol /CNG,Petrol /HYBRID,PURE EV,STRONG HYBRID EV,PETROL/ETHANOL,Total,EV
2025-11-07T12:55:29.292219+00:00,Tamil Nadu,AVINASHI,MAHINDRA & MAHINDRA LIMITED,0,4,0,0,1,0,0,0,0,0,5,0
2025-11-07T12:55:29.292219+00:00,Tamil Nadu,AVINASHI,MARUTI SUZUKI INDIA LTD,0,0,0,0,11,1,0,0,0,0,12,0
2025-11-07T12:55:29.292219+00:00,Tamil Nadu,AVINASHI,RENAULT INDIA PVT LTD,0,0,0,0,0,0,0,0,0,2,2,0
2025-11-07T12:55:29.292219+00:00,Tamil Nadu,AVINASHI,SKODA AUTO VOLKSWAGEN INDIA PVT LTD,0,0,0,0,0,0,0,0,0,2,2,0
2025-11-07T12:55:29.292219+00:00,Tamil Nadu,AVINASHI,TATA MOTORS PASSENGER VEHICLES LTD,0,1,0,0,0,0,0,0,0,5,6,0
2025-11-07T12:55:29.292219+00:00,Tamil Nadu,AVINASHI,TATA PASSENGER ELECTRIC MOBILITY LTD,0,0,0,1,0,0,0,3,0,0,4,4
2025-11-07T12:55:29.292219+00:00,Tamil Nadu,AVINASHI,TOYOTA KIRLOSKAR MOTOR PVT LTD,0,3,0,0,0,0,1,0,2,9,15,0
2025-11-07T12:55:29.313017+00:00,Tamil Nadu,BATLAGUNDU,HONDA CARS INDIA LTD,0,0,0,0,1,0,0,0,0,0,1,0
2025-11-07T12:55:29.313017+00:00,Tamil Nadu,BATLAGUNDU,HYUNDAI MOTOR INDIA LTD,0,1,0,0,0,0,0,0,0,1,2,0
2025-11-07T12:55:29.313017+00:00,Tamil Nadu,BATLAGUNDU,KIA INDIA PRIVATE LIMITED,0,0,0,0,0,0,0,1,0,0,1,1
2025-11-07T12:55:29.313017+00:00,Tamil Nadu,BATLAGUNDU,MAHINDRA & MAHINDRA LIMITED,0,2,0,0,1,0,0,0,0,0,3,0
2025-11-07T12:55:29.313017+00:00,Tamil Nadu,BATLAGUNDU,MARUTI SUZUKI INDIA LTD,0,0,0,0,8,1,0,0,0,0,9,0
2025-11-07T12:55:29.313017+00:00,Tamil Nadu,BATLAGUNDU,TATA MOTORS PASSENGER VEHICLES LTD,0,0,0,0,0,0,0,0,0,1,1,0
2025-11-07T12:55:29.313017+00:00,Tamil Nadu,BATLAGUNDU,TOYOTA KIRLOSKAR MOTOR PVT LTD,0,0,0,0,0,0,0,0,0,3,3,0
2025-11-07T12:55:29.334095+00:00,Tamil Nadu,BHAVANI,HONDA CARS INDIA LTD,0,0,0,0,2,0,0,0,0,0,2,0
2025-11-07T12:55:29.334095+00:00,Tamil Nadu,BHAVANI,HYUNDAI MOTOR INDIA LTD,0,0,0,0,0,1,0,0,0,4,5,0
